frame,root pos x,root pos y,root pos z,root rot x,root rot y,root rot z,root rot w,j00_hip_pitch_l_joint,j01_hip_roll_l_joint,j02_hip_yaw_l_joint,j03_knee_pitch_l_joint,j04_ankle_pitch_l_joint,j05_ankle_roll_l_joint,j06_hip_pitch_r_joint,j07_hip_roll_r_joint,j08_hip_yaw_r_joint,j09_knee_pitch_r_joint,j10_ankle_pitch_r_joint,j11_ankle_roll_r_joint,j12_waist_yaw_joint,j13_shoulder_pitch_l_joint,j14_shoulder_roll_l_joint,j15_shoulder_yaw_l_joint,j16_elbow_pitch_l_joint,j17_elbow_yaw_l_joint,j18_shoulder_pitch_r_joint,j19_shoulder_roll_r_joint,j20_shoulder_yaw_r_joint,j21_elbow_pitch_r_joint,j22_elbow_yaw_r_joint,j23_head_yaw_joint
0,-0.291352,-1.41291,0.693203,-0.063144,-0.246613,-0.385718,0.886801,-0.389566,0.499942,0.233941,0.911537,0.085226,-0.2618,-0.044627,-0.593212,-0.273025,1.189503,-0.502164,0.2618,0.225174,0.37331,0.198265,0.169785,-1.878071,-0.449173,0.38557,-0.566948,-0.135466,-1.540428,0.851065,0.0
1,-0.30852,-1.39284,0.698167,-0.070558,-0.243465,-0.379023,0.889993,-0.346722,0.570931,0.336987,1.059751,-0.117837,-0.181208,-0.05821,-0.569783,-0.293048,1.151746,-0.475818,0.255238,0.171568,0.432057,0.215806,0.189838,-1.831854,-0.447464,0.421032,-0.572354,-0.218826,-1.490003,0.818981,0.0
2,-0.327101,-1.364912,0.70579,-0.075325,-0.242168,-0.37455,0.891848,-0.285431,0.607031,0.364626,1.202379,-0.233927,-0.072013,-0.087322,-0.559398,-0.303599,1.10467,-0.41775,0.237234,0.102039,0.485563,0.219172,0.207273,-1.780133,-0.43693,0.426729,-0.596348,-0.281081,-1.432373,0.792109,0.0
3,-0.344404,-1.336273,0.712771,-0.077855,-0.237812,-0.378571,0.891105,-0.214881,0.614607,0.327629,1.337156,-0.271591,-0.071197,-0.135691,-0.550094,-0.295166,1.056923,-0.373779,0.23448,0.029336,0.531126,0.227844,0.222043,-1.749734,-0.464756,0.413663,-0.61925,-0.329882,-1.392143,0.800966,0.0
4,-0.363153,-1.309162,0.714144,-0.083986,-0.227474,-0.382229,0.891685,-0.139205,0.655981,0.301099,1.451305,-0.262075,-0.039745,-0.203454,-0.528007,-0.285405,1.033,-0.353783,0.206725,-0.055932,0.54328,0.258144,0.242808,-1.732404,-0.477582,0.390678,-0.630595,-0.369219,-1.365338,0.789783,0.0
5,-0.382098,-1.280317,0.709509,-0.09522,-0.211199,-0.383601,0.893968,-0.059457,0.702372,0.272415,1.492208,-0.196593,0.003523,-0.283361,-0.498747,-0.283351,1.021272,-0.319982,0.180209,-0.136624,0.503871,0.333706,0.259921,-1.715747,-0.451716,0.379928,-0.613486,-0.419484,-1.339891,0.744327,0.0
6,-0.400917,-1.248834,0.70379,-0.115247,-0.185765,-0.382435,0.897749,0.008537,0.725215,0.224349,1.394295,0.015416,-0.036663,-0.34499,-0.443194,-0.307181,0.982759,-0.267762,0.169305,-0.19298,0.369512,0.486982,0.251278,-1.686439,-0.382863,0.398823,-0.54269,-0.499683,-1.311269,0.6827,0.0
7,-0.411506,-1.198669,0.699616,-0.133363,-0.151209,-0.368712,0.907415,0.04187,0.685564,0.148163,1.250719,-0.092257,-0.2618,-0.39554,-0.406081,-0.350291,0.890494,-0.19474,0.159643,-0.234315,0.15118,0.657329,0.204536,-1.68242,-0.280702,0.46345,-0.423522,-0.615391,-1.294953,0.613274,0.0
8,-0.422722,-1.149659,0.691038,-0.146491,-0.105896,-0.348254,0.919807,-0.015803,0.709903,0.158376,1.192012,-0.525811,-0.2618,-0.466755,-0.375112,-0.392955,0.798425,-0.11989,0.140557,-0.243567,-0.105705,0.781535,0.129757,-1.719378,-0.236653,0.579293,-0.307634,-0.705574,-1.266898,0.48999,0.0
9,-0.446376,-1.124485,0.690658,-0.150257,-0.066544,-0.327773,0.930354,-0.166751,0.736502,0.111423,1.123692,-0.6807,-0.2618,-0.521005,-0.337606,-0.44405,0.719603,-0.091025,0.098836,-0.212026,-0.300374,0.754198,0.068288,-1.824259,-0.312882,0.706801,-0.338437,-0.621415,-1.131323,0.306453,0.0
