frame,root pos x,root pos y,root pos z,root rot x,root rot y,root rot z,root rot w,j00_hip_pitch_l_joint,j01_hip_roll_l_joint,j02_hip_yaw_l_joint,j03_knee_pitch_l_joint,j04_ankle_pitch_l_joint,j05_ankle_roll_l_joint,j06_hip_pitch_r_joint,j07_hip_roll_r_joint,j08_hip_yaw_r_joint,j09_knee_pitch_r_joint,j10_ankle_pitch_r_joint,j11_ankle_roll_r_joint,j12_waist_yaw_joint,j13_shoulder_pitch_l_joint,j14_shoulder_roll_l_joint,j15_shoulder_yaw_l_joint,j16_elbow_pitch_l_joint,j17_elbow_yaw_l_joint,j18_shoulder_pitch_r_joint,j19_shoulder_roll_r_joint,j20_shoulder_yaw_r_joint,j21_elbow_pitch_r_joint,j22_elbow_yaw_r_joint,j23_head_yaw_joint
0,1.644305,-1.103827,0.750177,-0.123476,-0.097623,0.625574,-0.76412,-0.787219,0.260846,-0.009132,1.100069,-0.271757,-0.105367,-0.865812,0.142161,-0.096206,1.026345,-0.322099,-0.228435,-0.101272,-0.68844,0.044586,-0.332311,-2.132416,-0.240714,-0.191425,-0.748361,0.115305,-2.1948,0.104915,0.0
1,1.654484,-1.081231,0.723168,-0.124564,-0.094188,0.63198,-0.759087,-0.694732,0.314707,-0.011744,1.194272,-0.323658,-0.091441,-0.970242,0.143525,-0.055413,1.167862,-0.389595,-0.227828,-0.11725,-0.608659,0.063524,-0.330543,-2.129438,-0.269596,-0.128277,-0.721169,0.110934,-2.1948,0.136176,0.0
2,1.663693,-1.055096,0.702181,-0.125251,-0.089498,0.63135,-0.760065,-0.582096,0.319156,-0.028597,1.227524,-0.36104,-0.116161,-1.059933,0.118134,-0.057193,1.266541,-0.428223,-0.246019,-0.160146,-0.511136,0.070164,-0.322621,-2.101633,-0.298486,-0.04476,-0.681573,0.102552,-2.1948,0.167458,0.0
3,1.670271,-1.02281,0.690306,-0.124543,-0.086157,0.621086,-0.768972,-0.488605,0.280829,-0.0753,1.216398,-0.375615,-0.166715,-1.119318,0.087768,-0.057835,1.295131,-0.464208,-0.248234,-0.222819,-0.410534,0.079973,-0.315444,-2.070028,-0.317557,0.037829,-0.632885,0.089055,-2.189705,0.15862,0.0
4,1.675933,-0.988004,0.687128,-0.119657,-0.086268,0.607744,-0.780313,-0.410321,0.22949,-0.132468,1.168629,-0.344751,-0.230303,-1.168696,0.061144,-0.064169,1.29017,-0.439576,-0.251977,-0.279737,-0.31718,0.114821,-0.318472,-2.060682,-0.314424,0.095712,-0.572853,0.077689,-2.146245,0.172343,0.0
5,1.683972,-0.949575,0.68875,-0.114936,-0.090957,0.596235,-0.789316,-0.360909,0.193941,-0.146136,1.092369,-0.299426,-0.2618,-1.223043,0.044334,-0.05545,1.264934,-0.369851,-0.235563,-0.327251,-0.243705,0.162256,-0.317746,-2.065632,-0.300407,0.153478,-0.515321,0.062234,-2.129404,0.194432,0.0
6,1.683638,-0.910439,0.695898,-0.111915,-0.096509,0.587966,-0.795271,-0.339588,0.201856,-0.101837,0.973085,-0.345338,-0.261275,-1.252437,0.037372,-0.058844,1.191605,-0.277643,-0.227891,-0.361293,-0.182718,0.216049,-0.302129,-2.086419,-0.278189,0.208798,-0.470382,0.047221,-2.120919,0.17021,0.0
7,1.686331,-0.867711,0.711001,-0.115384,-0.101898,0.578646,-0.800919,-0.368286,0.189338,-0.065226,0.900907,-0.433292,-0.257673,-1.267366,0.017562,-0.053998,1.070398,-0.154265,-0.207253,-0.3855,-0.160101,0.262052,-0.285708,-2.103563,-0.263625,0.23843,-0.450737,0.031053,-2.109255,0.144225,0.0
8,1.691385,-0.821895,0.728825,-0.116885,-0.111091,0.585356,-0.794579,-0.427029,0.168526,-0.040247,0.870619,-0.451863,-0.228025,-1.252618,0.042137,-0.024335,0.892287,0.018455,-0.165538,-0.357335,-0.156398,0.311089,-0.273752,-2.117979,-0.268208,0.254023,-0.443941,0.024313,-2.102236,0.152031,0.0
9,1.696795,-0.776911,0.747197,-0.114227,-0.122449,0.601934,-0.780791,-0.488199,0.157968,-0.025705,0.852049,-0.435295,-0.203842,-1.20332,0.095569,0.038029,0.667671,0.237183,-0.065968,-0.294983,-0.153793,0.371786,-0.268003,-2.132535,-0.287392,0.265977,-0.439035,0.031196,-2.093604,0.162253,0.0
