frame,root pos x,root pos y,root pos z,root rot x,root rot y,root rot z,root rot w,j00_hip_pitch_l_joint,j01_hip_roll_l_joint,j02_hip_yaw_l_joint,j03_knee_pitch_l_joint,j04_ankle_pitch_l_joint,j05_ankle_roll_l_joint,j06_hip_pitch_r_joint,j07_hip_roll_r_joint,j08_hip_yaw_r_joint,j09_knee_pitch_r_joint,j10_ankle_pitch_r_joint,j11_ankle_roll_r_joint,j12_waist_yaw_joint,j13_shoulder_pitch_l_joint,j14_shoulder_roll_l_joint,j15_shoulder_yaw_l_joint,j16_elbow_pitch_l_joint,j17_elbow_yaw_l_joint,j18_shoulder_pitch_r_joint,j19_shoulder_roll_r_joint,j20_shoulder_yaw_r_joint,j21_elbow_pitch_r_joint,j22_elbow_yaw_r_joint,j23_head_yaw_joint
0,1.57467,-2.049662,0.694681,-0.121819,-0.086689,0.980369,-0.128538,-1.258883,0.30196,-0.435329,1.368493,-0.281954,-0.2618,-0.781765,-0.362713,0.077955,1.241081,-0.341234,-0.018906,0.079969,-0.765724,0.058758,-0.166829,-2.14287,-0.319337,-0.794147,-0.5043,0.190548,-2.1948,0.228432,0.0
1,1.574877,-2.036487,0.694319,-0.116968,-0.070876,0.982053,-0.129872,-1.222733,0.297791,-0.418466,1.342204,-0.265301,-0.2618,-0.782143,-0.383566,0.117423,1.208136,-0.314732,-0.037501,0.038309,-0.773836,0.069252,-0.181649,-2.140304,-0.334831,-0.812806,-0.48878,0.197354,-2.1948,0.230737,0.0
2,1.576387,-2.02128,0.695219,-0.114306,-0.053282,0.983075,-0.132887,-1.19056,0.285487,-0.401051,1.309279,-0.233349,-0.2618,-0.774715,-0.398544,0.162813,1.126391,-0.189146,-0.004375,-0.002491,-0.774587,0.072532,-0.193008,-2.142509,-0.335356,-0.820743,-0.480332,0.207415,-2.1948,0.228175,0.0
3,1.581246,-2.001258,0.697525,-0.114479,-0.035144,0.983854,-0.133004,-1.174809,0.275137,-0.38572,1.269225,-0.165347,-0.2618,-0.743471,-0.425828,0.186702,1.070653,-0.231897,0.235546,-0.030677,-0.773437,0.068287,-0.199406,-2.150097,-0.333612,-0.827094,-0.481125,0.219102,-2.1948,0.229388,0.0
4,1.587726,-1.968846,0.700341,-0.117044,-0.019595,0.983822,-0.134206,-1.165539,0.272696,-0.393277,1.199505,-0.083915,-0.2618,-0.708515,-0.441573,0.146696,1.025326,-0.356133,0.2618,-0.054446,-0.774319,0.066944,-0.207487,-2.165374,-0.315925,-0.840041,-0.487166,0.224277,-2.1948,0.227032,0.0
5,1.596244,-1.943579,0.701363,-0.121553,-0.004602,0.982914,-0.138147,-1.147534,0.265521,-0.385151,1.126478,-0.044994,-0.2618,-0.698605,-0.453837,0.117528,0.99679,-0.459127,0.2618,-0.088942,-0.761752,0.063844,-0.212404,-2.182999,-0.312028,-0.848791,-0.48966,0.222533,-2.1948,0.214205,0.0
6,1.600801,-1.926125,0.702084,-0.124219,0.008717,0.980914,-0.149333,-1.109801,0.250098,-0.369122,1.055777,-0.066483,-0.2618,-0.725299,-0.466445,0.126449,1.028071,-0.486872,0.2618,-0.150441,-0.729207,0.063893,-0.214705,-2.194259,-0.320203,-0.84866,-0.482004,0.216445,-2.1948,0.194015,0.0
7,1.604794,-1.910903,0.701256,-0.126643,0.01883,0.979356,-0.156424,-1.070102,0.238432,-0.355839,1.001142,-0.111582,-0.2618,-0.787184,-0.481474,0.133169,1.093445,-0.485009,0.2618,-0.205767,-0.685214,0.063831,-0.224889,-2.194558,-0.32231,-0.843159,-0.472409,0.210692,-2.1948,0.182863,0.0
8,1.613766,-1.898301,0.700323,-0.131396,0.027858,0.978216,-0.158279,-1.041656,0.232534,-0.330856,0.978975,-0.147242,-0.2618,-0.85692,-0.485346,0.1633,1.137816,-0.485057,0.2618,-0.242679,-0.647495,0.06851,-0.238016,-2.194143,-0.323731,-0.834171,-0.465202,0.206869,-2.1948,0.165099,0.0
9,1.619493,-1.886932,0.701739,-0.127898,0.034596,0.979545,-0.151452,-0.991866,0.266344,-0.274526,0.988245,-0.172773,-0.2618,-0.871261,-0.47177,0.188007,1.142833,-0.500334,0.2618,-0.254699,-0.597872,0.08137,-0.246486,-2.193218,-0.332181,-0.806258,-0.458827,0.206161,-2.1948,0.153023,0.0
10,1.624641,-1.879932,0.703887,-0.122579,0.037257,0.981049,-0.145356,-0.942919,0.292594,-0.247476,1.030455,-0.190185,-0.253373,-0.871903,-0.457013,0.201705,1.141238,-0.499556,0.2618,-0.264592,-0.550636,0.107058,-0.257255,-2.194586,-0.327374,-0.781491,-0.445048,0.207784,-2.1948,0.162052,0.0
11,1.631103,-1.879403,0.706443,-0.115867,0.037235,0.982876,-0.138362,-0.890915,0.305534,-0.245904,1.090204,-0.204791,-0.22426,-0.878526,-0.446395,0.215028,1.141853,-0.471088,0.2618,-0.269259,-0.504868,0.141196,-0.267514,-2.1948,-0.297772,-0.756351,-0.426877,0.216447,-2.1948,0.156991,0.0
12,1.649217,-1.877051,0.704054,-0.123224,0.035071,0.983158,-0.13033,-0.907682,0.300312,-0.271925,1.172806,-0.205178,-0.197455,-0.972085,-0.416874,0.26545,1.174676,-0.428633,0.2618,-0.260219,-0.482911,0.172067,-0.2967,-2.1948,-0.271001,-0.744198,-0.404158,0.225125,-2.1948,0.148915,0.0
13,1.659057,-1.879727,0.702165,-0.11786,0.027191,0.985773,-0.116709,-0.877836,0.327593,-0.281632,1.245503,-0.229458,-0.180972,-0.988407,-0.381244,0.290666,1.179752,-0.398583,0.2618,-0.240179,-0.443438,0.231486,-0.316835,-2.1948,-0.257809,-0.708585,-0.381055,0.236155,-2.1948,0.1489,0.0
14,1.660217,-1.888379,0.703401,-0.099259,0.015683,0.988954,-0.108958,-0.787081,0.356897,-0.280988,1.283439,-0.264553,-0.199719,-0.919263,-0.370151,0.27196,1.148383,-0.381591,0.2618,-0.23276,-0.388939,0.314926,-0.323418,-2.1948,-0.266929,-0.654157,-0.359012,0.249137,-2.1948,0.149796,0.0
15,1.67405,-1.896895,0.702529,-0.094258,0.005309,0.989673,-0.107859,-0.757813,0.334732,-0.31243,1.321848,-0.281342,-0.247372,-0.911876,-0.361431,0.269103,1.121479,-0.356105,0.2618,-0.225504,-0.367144,0.383497,-0.341039,-2.1948,-0.26849,-0.607583,-0.348635,0.249551,-2.1948,0.147039,0.0
16,1.695488,-1.914668,0.705573,-0.093102,-0.003841,0.989457,-0.110873,-0.747223,0.280604,-0.324345,1.343011,-0.268178,-0.2618,-0.893948,-0.375988,0.256585,1.042175,-0.316687,0.2618,-0.227075,-0.356799,0.451467,-0.35066,-2.1948,-0.237746,-0.562458,-0.343123,0.236056,-2.1948,0.1351,0.0
