frame,root pos x,root pos y,root pos z,root rot x,root rot y,root rot z,root rot w,j00_hip_pitch_l_joint,j01_hip_roll_l_joint,j02_hip_yaw_l_joint,j03_knee_pitch_l_joint,j04_ankle_pitch_l_joint,j05_ankle_roll_l_joint,j06_hip_pitch_r_joint,j07_hip_roll_r_joint,j08_hip_yaw_r_joint,j09_knee_pitch_r_joint,j10_ankle_pitch_r_joint,j11_ankle_roll_r_joint,j12_waist_yaw_joint,j13_shoulder_pitch_l_joint,j14_shoulder_roll_l_joint,j15_shoulder_yaw_l_joint,j16_elbow_pitch_l_joint,j17_elbow_yaw_l_joint,j18_shoulder_pitch_r_joint,j19_shoulder_roll_r_joint,j20_shoulder_yaw_r_joint,j21_elbow_pitch_r_joint,j22_elbow_yaw_r_joint,j23_head_yaw_joint
0,-2.122157,1.590467,0.804491,0.01127,-0.173169,-0.370152,-0.912619,-0.605042,-0.046487,-0.239081,0.676367,-0.06193,-0.157275,-0.729528,-0.215811,-0.016136,1.359547,0.109892,0.114385,-0.177327,0.007386,0.373501,-0.272304,-2.1948,-0.22932,0.318452,-0.551797,0.127029,-2.1948,0.105465,0.0
1,-2.142354,1.582023,0.785118,0.00314,-0.163797,-0.363593,-0.917039,-0.620435,-0.049672,-0.192814,0.742063,-0.198889,-0.146968,-0.624176,-0.267807,-0.029487,1.313276,0.112204,0.051311,-0.162129,-0.022045,0.352364,-0.270829,-2.179593,-0.254474,0.314818,-0.586955,0.125289,-2.1948,0.108517,0.0
2,-2.166221,1.57004,0.766444,-0.00075,-0.166639,-0.364666,-0.916106,-0.689133,-0.066155,-0.153771,0.818912,-0.293019,-0.116369,-0.55426,-0.339267,-0.083914,1.239672,0.108464,0.013127,-0.162513,-0.072663,0.344554,-0.275879,-2.151671,-0.278884,0.285255,-0.590124,0.119658,-2.1948,0.128062,0.0
3,-2.183818,1.552317,0.751714,-0.002852,-0.16846,-0.357206,-0.918704,-0.75195,-0.070673,-0.153442,0.881909,-0.357231,-0.117099,-0.482906,-0.324265,-0.080635,1.13009,0.091987,-0.016274,-0.142676,-0.105928,0.335886,-0.281732,-2.128228,-0.352675,0.263852,-0.567721,0.116814,-2.1948,0.141835,0.0
4,-2.19652,1.532043,0.744618,-0.001415,-0.167806,-0.335871,-0.926839,-0.795974,-0.043503,-0.145913,0.915846,-0.383289,-0.129772,-0.409409,-0.29262,-0.086018,1.029944,-0.120297,-0.011192,-0.093303,-0.112072,0.317809,-0.289833,-2.114014,-0.41184,0.257816,-0.536227,0.119107,-2.1948,0.12059,0.0
5,-2.208567,1.507504,0.746206,0.003542,-0.170679,-0.316755,-0.933018,-0.845564,-0.009324,-0.145478,0.918528,-0.347722,-0.145244,-0.373425,-0.265144,-0.126826,0.935861,-0.266217,0.015366,-0.052893,-0.103115,0.303275,-0.29164,-2.103929,-0.401533,0.253448,-0.509292,0.131991,-2.1948,0.110345,0.0
6,-2.219869,1.478969,0.754636,0.010923,-0.17887,-0.302933,-0.936012,-0.890633,0.023098,-0.1546,0.874537,-0.276508,-0.162576,-0.386272,-0.226452,-0.146896,0.86028,-0.326415,0.029035,-0.034646,-0.088378,0.299008,-0.289424,-2.101926,-0.368908,0.247252,-0.49741,0.159718,-2.1948,0.112071,0.0
7,-2.228609,1.446224,0.769819,0.015878,-0.187952,-0.293947,-0.937026,-0.897621,0.056183,-0.157633,0.758658,-0.168548,-0.183377,-0.416901,-0.180331,-0.160662,0.796261,-0.327551,-0.016414,-0.039999,-0.063322,0.296243,-0.279234,-2.105784,-0.333897,0.249492,-0.51445,0.185968,-2.1948,0.114594,0.0
8,-2.239511,1.410738,0.786183,0.018194,-0.200509,-0.288479,-0.936079,-0.881967,0.081953,-0.143803,0.588499,-0.028869,-0.186998,-0.469678,-0.141068,-0.156319,0.746829,-0.287871,-0.030745,-0.062711,-0.050876,0.28846,-0.272151,-2.109597,-0.302521,0.250204,-0.55111,0.191722,-2.1948,0.128843,0.0
9,-2.251868,1.375509,0.797986,0.020407,-0.213013,-0.283814,-0.934697,-0.851655,0.105677,-0.104146,0.421552,0.062093,-0.158494,-0.531956,-0.101727,-0.119719,0.717385,-0.244038,0.00222,-0.091093,-0.063457,0.289624,-0.271524,-2.114565,-0.26902,0.244616,-0.592098,0.171977,-2.1948,0.126764,0.0
