root pos x,root pos y,root pos z,root rot x,root rot y,root rot z,root rot w,l_hip_pitch,l_hip_roll,l_thigh,l_calf,l_ankle_pitch,l_ankle_roll,r_hip_pitch,r_hip_roll,r_thigh,r_calf,r_ankle_pitch,r_ankle_roll,l_shoulder_pitch,l_shoulder_roll,l_upper_arm,l_elbow,l_wrist,r_shoulder_pitch,r_shoulder_roll,r_upper_arm,r_elbow,r_wrist
0.655012,-1.174846,0.362124,0.057076,0.095425,-0.775478,0.621506,-0.770136,0.481552,0.32613,0.949471,-0.072193,0.0,-0.566851,-0.044318,-0.328082,0.427608,-0.149046,0.0,0.378054,0.708987,-0.154554,-1.172625,-0.197905,0.026522,-0.315336,0.252511,-0.788886,0.340352
0.649809,-1.17791,0.362201,0.057421,0.101227,-0.774771,0.621438,-0.803949,0.528376,0.316917,1.01928,-0.054584,0.0,-0.560759,-0.029224,-0.333237,0.430127,-0.167811,0.0,0.408423,0.760049,-0.155472,-1.245769,-0.214847,0.02146,-0.30956,0.294649,-0.778435,0.334967
0.644357,-1.18038,0.361558,0.05476,0.110608,-0.7728,0.622533,-0.848493,0.590978,0.31771,1.101827,-0.043141,0.0,-0.552386,-0.005586,-0.345476,0.428986,-0.185175,0.0,0.466903,0.83579,-0.126599,-1.331727,-0.226757,0.011776,-0.291897,0.329192,-0.766708,0.327057
0.636614,-1.184851,0.360965,0.05122,0.121172,-0.769528,0.624917,-0.889169,0.669047,0.321511,1.186175,-0.04612,0.0,-0.532935,0.024739,-0.36156,0.423518,-0.210638,0.0,0.527012,0.909116,-0.080602,-1.415798,-0.246987,-0.000747,-0.267342,0.349264,-0.752169,0.319905
0.628295,-1.190333,0.359882,0.046949,0.131412,-0.766093,0.627397,-0.917959,0.751572,0.339611,1.261227,-0.078712,0.0,-0.509826,0.057191,-0.376825,0.419875,-0.240834,0.0,0.567569,0.960424,-0.037547,-1.467794,-0.248717,-0.009967,-0.242301,0.354727,-0.743192,0.318599
0.62207,-1.195919,0.358323,0.04302,0.138071,-0.764922,0.627678,-0.946916,0.803023,0.334689,1.310833,-0.146979,0.0,-0.48964,0.082897,-0.382974,0.422001,-0.26905,0.0,0.582181,0.978231,-0.000115,-1.480074,-0.241649,-0.01356,-0.224581,0.349565,-0.749188,0.321667
0.624871,-1.193766,0.356014,0.040157,0.140986,-0.766246,0.625601,-0.988034,0.777614,0.33953,1.308919,-0.192462,0.0,-0.502555,0.086628,-0.38256,0.428544,-0.261362,0.0,0.589439,0.981598,0.03448,-1.474403,-0.219992,-0.016181,-0.212775,0.340485,-0.762202,0.327982
0.630233,-1.190363,0.353631,0.039817,0.142195,-0.769378,0.621492,-1.024342,0.712731,0.339726,1.261935,-0.195937,0.0,-0.526571,0.081892,-0.375963,0.436504,-0.24429,0.0,0.593003,0.982547,0.062023,-1.461737,-0.194685,-0.0199,-0.207838,0.326825,-0.781158,0.33187
0.636571,-1.187089,0.350782,0.03906,0.144035,-0.772858,0.616782,-1.049523,0.63295,0.339521,1.171977,-0.18355,0.0,-0.551801,0.078342,-0.369002,0.443565,-0.225038,0.0,0.604157,0.99176,0.087318,-1.444099,-0.174362,-0.026521,-0.198097,0.308565,-0.795103,0.326481
0.643901,-1.183885,0.347513,0.036255,0.146775,-0.776385,0.611858,-1.062208,0.547378,0.334115,1.046983,-0.146748,0.0,-0.573031,0.079037,-0.363435,0.44469,-0.201914,0.0,0.628869,1.01181,0.109864,-1.417808,-0.15336,-0.038558,-0.180614,0.29242,-0.797902,0.318337
0.651426,-1.181655,0.344194,0.032698,0.148913,-0.781002,0.605633,-1.05127,0.466111,0.325655,0.894371,-0.08346,0.0,-0.589559,0.082026,-0.354993,0.443891,-0.179788,0.0,0.658858,1.031156,0.126616,-1.381818,-0.140608,-0.054167,-0.160464,0.283308,-0.796193,0.315056
0.638992,-1.193401,0.351204,0.039204,0.142898,-0.785136,0.601336,-0.967381,0.478641,0.281296,0.777732,-0.038903,0.0,-0.525412,0.099593,-0.332662,0.400276,-0.207366,0.0,0.683828,1.032508,0.127719,-1.355122,-0.117176,-0.072579,-0.159412,0.270753,-0.793323,0.319031
0.633287,-1.196926,0.354323,0.042181,0.135615,-0.791524,0.594407,-0.887751,0.496382,0.323307,0.713409,-0.05917,0.0,-0.498632,0.103841,-0.309027,0.380362,-0.21092,0.0,0.724124,1.041909,0.125205,-1.32341,-0.073206,-0.08208,-0.165351,0.266672,-0.803155,0.333616
0.631977,-1.197512,0.355956,0.043538,0.128355,-0.7994,0.585312,-0.830661,0.499251,0.368717,0.6736,-0.058061,0.0,-0.492013,0.101712,-0.283389,0.376811,-0.206152,0.0,0.777497,1.061291,0.116707,-1.287038,-0.014366,-0.088508,-0.176897,0.268162,-0.823973,0.349785
0.63136,-1.198275,0.356834,0.04479,0.123043,-0.807621,0.574981,-0.795382,0.507429,0.40353,0.666503,-0.060263,0.0,-0.494764,0.10043,-0.256943,0.385533,-0.206201,0.0,0.839571,1.097036,0.100352,-1.255969,0.041471,-0.094469,-0.189157,0.262046,-0.845269,0.358306
0.63231,-1.198291,0.356565,0.044665,0.119653,-0.814604,0.565781,-0.791707,0.518776,0.419938,0.699499,-0.065239,0.0,-0.503939,0.100053,-0.235497,0.399993,-0.206465,0.0,0.897049,1.134696,0.087426,-1.235114,0.043319,-0.096186,-0.195089,0.246748,-0.863894,0.361477
0.634447,-1.197136,0.355038,0.043015,0.120298,-0.818069,0.56075,-0.826985,0.534467,0.410452,0.765579,-0.063394,0.0,-0.520239,0.102136,-0.227756,0.419048,-0.207054,0.0,0.948058,1.171445,0.096228,-1.241854,0.02685,-0.093737,-0.188073,0.218235,-0.881418,0.363158
0.636212,-1.19571,0.353081,0.04144,0.122813,-0.819767,0.557837,-0.882556,0.55601,0.389171,0.849766,-0.049133,0.0,-0.538852,0.105405,-0.226464,0.439506,-0.209116,0.0,0.966882,1.185258,0.122215,-1.2524,-0.005096,-0.084209,-0.175707,0.183179,-0.899495,0.365687
0.636902,-1.194723,0.351506,0.041362,0.124262,-0.820089,0.557047,-0.93413,0.574698,0.37252,0.926526,-0.021438,0.0,-0.555492,0.104692,-0.227922,0.460957,-0.21531,0.0,0.944855,1.174785,0.139593,-1.25722,-0.003788,-0.066856,-0.174001,0.157868,-0.914571,0.360877
0.636223,-1.19478,0.3504,0.041989,0.126769,-0.819097,0.557894,-0.979896,0.595003,0.356921,0.991998,0.000154,0.0,-0.566162,0.105548,-0.232533,0.477066,-0.224722,0.0,0.893716,1.153137,0.15232,-1.265747,-0.002598,-0.04365,-0.175141,0.142168,-0.926268,0.348284
0.634774,-1.195542,0.349788,0.043562,0.129288,-0.817248,0.559904,-1.011113,0.611133,0.350537,1.036182,0.012721,0.0,-0.571067,0.106093,-0.238172,0.485658,-0.234005,0.0,0.823756,1.12121,0.163138,-1.279429,-0.02304,-0.017338,-0.18097,0.138018,-0.930423,0.340419
0.632778,-1.196988,0.349779,0.044917,0.131872,-0.814219,0.563596,-1.024745,0.620239,0.348285,1.053975,0.013842,0.0,-0.567002,0.107262,-0.246638,0.48479,-0.242665,0.0,0.746521,1.083432,0.172691,-1.305751,-0.04467,0.007779,-0.18974,0.143471,-0.920367,0.337343
0.630586,-1.198953,0.350209,0.045389,0.133623,-0.810366,0.568675,-1.014536,0.620704,0.354963,1.042143,-0.002532,0.0,-0.554325,0.108303,-0.256894,0.477455,-0.251157,0.0,0.669621,1.039842,0.176131,-1.342072,-0.061691,0.031805,-0.197404,0.154725,-0.896493,0.331597
