root pos x,root pos y,root pos z,root rot x,root rot y,root rot z,root rot w,l_hip_pitch,l_hip_roll,l_thigh,l_calf,l_ankle_pitch,l_ankle_roll,r_hip_pitch,r_hip_roll,r_thigh,r_calf,r_ankle_pitch,r_ankle_roll,l_shoulder_pitch,l_shoulder_roll,l_upper_arm,l_elbow,l_wrist,r_shoulder_pitch,r_shoulder_roll,r_upper_arm,r_elbow,r_wrist
-0.780534,0.23805,0.358016,-0.013567,0.061782,-0.318986,0.945646,-0.376907,0.032678,0.133292,0.319908,-0.148483,0.151162,-0.687079,-0.016614,0.030838,0.580111,-0.051554,0.107053,-0.082859,0.286612,-0.37364,-0.348834,-0.110606,-0.0846,-0.179877,0.19078,-0.454465,0.02453
-0.780377,0.236173,0.35825,-0.01347,0.062009,-0.318671,0.945739,-0.371726,0.039328,0.140335,0.314715,-0.130256,0.144076,-0.677003,0.014107,0.032786,0.567489,-0.080107,0.12219,-0.090288,0.295575,-0.362599,-0.344177,-0.101789,-0.072393,-0.185282,0.177564,-0.454994,0.025239
-0.779596,0.234042,0.357248,-0.012464,0.061907,-0.315393,0.946858,-0.362464,0.039099,0.132651,0.305812,-0.130729,0.14194,-0.658249,0.038122,0.083638,0.548664,-0.06458,0.074506,-0.10795,0.298438,-0.360902,-0.329106,-0.0924,-0.05998,-0.19091,0.162694,-0.446499,0.019658
-0.778754,0.231692,0.35801,-0.010641,0.058437,-0.31051,0.948713,-0.343546,0.033416,0.121227,0.291918,-0.129788,0.134502,-0.640476,0.045334,0.121958,0.542434,-0.037812,0.048883,-0.120335,0.297931,-0.348341,-0.322707,-0.095927,-0.044403,-0.19783,0.153309,-0.431708,0.020741
-0.778587,0.228924,0.358745,-0.009828,0.057037,-0.303243,0.951154,-0.329314,0.037357,0.120664,0.280113,-0.129525,0.123451,-0.620383,0.044181,0.117453,0.528415,-0.036049,0.046041,-0.133323,0.306359,-0.335044,-0.339482,-0.109633,-0.029602,-0.203756,0.147459,-0.420537,0.020377
-0.77737,0.226827,0.360101,-0.008898,0.046959,-0.28973,0.955914,-0.300423,0.031534,0.10193,0.274034,-0.120002,0.109416,-0.578728,0.022591,0.080406,0.506787,-0.041355,0.048785,-0.134377,0.291245,-0.317691,-0.342668,-0.107042,0.006281,-0.220604,0.121583,-0.405625,0.025034
-0.77646,0.224694,0.361274,-0.006767,0.041256,-0.280607,0.958912,-0.27597,0.027709,0.088765,0.259381,-0.112757,0.098561,-0.543826,0.007423,0.053296,0.480215,-0.045849,0.048077,-0.129855,0.272459,-0.301166,-0.358693,-0.089686,0.029845,-0.230845,0.106552,-0.395067,0.021774
-0.77643,0.222623,0.361779,-0.005627,0.043533,-0.275887,0.960187,-0.27399,0.031643,0.079146,0.255823,-0.106771,0.092611,-0.525107,0.004491,0.035535,0.450658,-0.057768,0.048009,-0.133652,0.265374,-0.278693,-0.374297,-0.040741,0.032297,-0.23982,0.109334,-0.39051,0.015834
-0.779994,0.224227,0.361389,0.011821,0.082015,-0.279518,0.956558,-0.364996,0.027944,0.091914,0.270284,-0.129156,0.084549,-0.597041,-0.000995,0.032376,0.429231,-0.040901,0.000298,-0.230541,0.212247,-0.152315,-0.394142,-0.150182,-0.046773,-0.243034,0.043374,-0.410868,0.14527
-0.780105,0.221912,0.361848,0.012922,0.082637,-0.274044,0.958073,-0.363554,0.032255,0.086996,0.275911,-0.122879,0.07378,-0.570026,-0.001822,0.020514,0.392094,-0.056513,0.014169,-0.234185,0.20544,-0.13642,-0.413025,-0.141461,-0.047131,-0.251388,0.036108,-0.412054,0.142579
-0.779739,0.219149,0.362206,0.01258,0.080842,-0.270381,0.959271,-0.359593,0.037752,0.079228,0.285415,-0.12232,0.06586,-0.540687,0.002132,0.01133,0.358183,-0.062039,0.015814,-0.227813,0.203353,-0.126199,-0.424918,-0.134618,-0.046592,-0.26112,0.028486,-0.412249,0.140599
-0.77952,0.216575,0.362651,0.013024,0.08027,-0.266036,0.960527,-0.359689,0.041862,0.074088,0.29997,-0.120228,0.062322,-0.511625,0.004859,0.007595,0.325077,-0.056772,0.008,-0.229139,0.196986,-0.113508,-0.426986,-0.132787,-0.053368,-0.266914,0.01946,-0.415993,0.141278
-0.779531,0.214024,0.363074,0.014183,0.077516,-0.263828,0.961345,-0.356897,0.044035,0.070882,0.314268,-0.123693,0.054805,-0.480944,0.003038,-0.004801,0.289919,-0.051695,0.006436,-0.231552,0.188573,-0.101633,-0.41879,-0.130652,-0.05702,-0.2683,0.015615,-0.437376,0.122558
-0.779003,0.211362,0.363415,0.014691,0.075097,-0.260831,0.962347,-0.361322,0.049401,0.065866,0.341476,-0.129769,0.047775,-0.448079,0.004056,-0.011372,0.251753,-0.048583,0.005129,-0.229961,0.187447,-0.100657,-0.402732,-0.127558,-0.056927,-0.283224,0.008736,-0.455466,0.120391
