root pos x,root pos y,root pos z,root rot w,root rot x,root rot y,root rot z,l_hip_pitch,l_hip_roll,l_thigh,l_calf,l_ankle_pitch,l_ankle_roll,r_hip_pitch,r_hip_roll,r_thigh,r_calf,r_ankle_pitch,r_ankle_roll,l_shoulder_pitch,l_shoulder_roll,l_upper_arm,l_elbow,l_wrist,r_shoulder_pitch,r_shoulder_roll,r_upper_arm,r_elbow,r_wrist
0.0,0.0,0.375,0.0,0.0,0.003481,0.999994,-0.12652,0.007596,0.006006,0.3,-0.194565,-0.003549,-0.119138,-0.018876,0.006937,0.3,-0.211693,0.015531,-0.030364,0.005442,-0.025183,-0.061613,0.008421,-0.015442,0.001366,0.021056,-0.048668,-0.038716
0.0,0.0,0.374787,0.001497,0.002737,0.003361,0.999989,-0.153039,0.015192,0.012012,0.416667,-0.18913,-0.007097,-0.119138,-0.018876,0.006937,0.3,-0.211693,0.015531,-0.060729,0.010885,-0.050365,-0.123226,0.016842,-0.030884,0.002731,0.042112,-0.097337,-0.077432
0.0,0.0,0.374574,0.002994,0.005475,0.003241,0.999975,-0.179559,0.022789,0.018018,0.533333,-0.183695,-0.010646,-0.119138,-0.018876,0.006937,0.3,-0.211693,0.015531,-0.091093,0.016327,-0.075548,-0.184839,0.025263,-0.046326,0.004097,0.063168,-0.146005,-0.116147
0.0,0.0,0.374362,0.004491,0.008212,0.003121,0.999951,-0.206078,0.030385,0.024023,0.65,-0.17826,-0.014194,-0.119138,-0.018876,0.006937,0.3,-0.211693,0.015531,-0.121458,0.021769,-0.10073,-0.246451,0.033684,-0.061768,0.005462,0.084225,-0.194673,-0.154863
0.0,0.0,0.374149,0.005988,0.010949,0.003002,0.999918,-0.232598,0.037981,0.030029,0.766667,-0.172825,-0.017743,-0.119138,-0.018876,0.006937,0.3,-0.211693,0.015531,-0.151822,0.027212,-0.125913,-0.308064,0.042104,-0.07721,0.006828,0.105281,-0.243341,-0.193579
0.0,0.0,0.373936,0.007485,0.013686,0.002882,0.999874,-0.259117,0.045577,0.036035,0.883333,-0.16739,-0.021292,-0.119138,-0.018876,0.006937,0.3,-0.211693,0.015531,-0.182187,0.032654,-0.151095,-0.369677,0.050525,-0.092652,0.008193,0.126337,-0.29201,-0.232295
0.0,0.0,0.373723,0.008982,0.016423,0.002762,0.999821,-0.285637,0.053173,0.042041,1.0,-0.161955,-0.02484,-0.119138,-0.018876,0.006937,0.3,-0.211693,0.015531,-0.212551,0.038096,-0.176278,-0.43129,0.058946,-0.108094,0.009559,0.147393,-0.340678,-0.271011
0.0,0.0,0.37351,0.010479,0.01916,0.002642,0.999758,-0.312157,0.06077,0.048047,1.0,-0.15652,-0.028389,-0.119138,-0.018876,0.006937,0.3,-0.211693,0.015531,-0.242916,0.043539,-0.201461,-0.492903,0.067367,-0.123536,0.010924,0.168449,-0.389346,-0.309727
0.0,0.0,0.373297,0.011976,0.021896,0.002522,0.999685,-0.338676,0.068366,0.054053,0.916267,-0.151086,-0.031937,-0.119138,-0.018876,0.006937,0.3,-0.211693,0.015531,-0.27328,0.048981,-0.226643,-0.554516,0.075788,-0.138978,0.01229,0.189505,-0.438014,-0.348442
0.0,0.0,0.373085,0.013472,0.024633,0.002402,0.999603,-0.365196,0.075962,0.060058,0.832534,-0.145651,-0.035486,-0.119138,-0.018876,0.006937,0.3,-0.211693,0.015531,-0.303645,0.054423,-0.251826,-0.616129,0.084209,-0.15442,0.013655,0.210562,-0.486683,-0.387158
