root pos x,root pos y,root pos z,root rot x,root rot y,root rot z,root rot w,l_hip_pitch,l_hip_roll,l_thigh,l_calf,l_ankle_pitch,l_ankle_roll,r_hip_pitch,r_hip_roll,r_thigh,r_calf,r_ankle_pitch,r_ankle_roll,l_shoulder_pitch,l_shoulder_roll,l_upper_arm,l_elbow,l_wrist,r_shoulder_pitch,r_shoulder_roll,r_upper_arm,r_elbow,r_wrist
-0.002415,0.005821,0.385468,-0.064395,0.04809,0.715264,0.694217,-0.488361,0.067202,-0.064202,0.468119,-0.133302,-0.02018,-0.422491,-0.063223,-0.095735,0.301862,-0.100043,0.080768,-0.024215,0.555259,-0.513299,-0.798013,-0.025359,0.006686,-0.476805,0.597179,-0.779913,0.025264
-0.00654,0.005704,0.385231,-0.068661,0.045915,0.716266,0.692922,-0.490497,0.064687,-0.065076,0.46248,-0.136492,-0.021392,-0.431059,-0.066087,-0.09732,0.309816,-0.098565,0.100327,-0.026122,0.555464,-0.515649,-0.798251,-0.028747,0.006031,-0.478514,0.6022,-0.784144,0.02545
-0.011112,0.005174,0.385186,-0.073375,0.04277,0.71615,0.692759,-0.488317,0.062268,-0.069377,0.448406,-0.141669,-0.014724,-0.446285,-0.068056,-0.096893,0.329188,-0.087887,0.112992,-0.025286,0.561063,-0.514665,-0.798481,-0.029265,0.002463,-0.480945,0.607105,-0.792447,0.028109
-0.016437,0.00463,0.384754,-0.078251,0.038574,0.715316,0.693334,-0.480893,0.059939,-0.073704,0.427788,-0.145816,-0.004865,-0.472884,-0.071085,-0.091268,0.374887,-0.072293,0.123376,-0.024085,0.566674,-0.509799,-0.790922,-0.028074,-0.000704,-0.482186,0.609612,-0.799079,0.036004
-0.023809,0.003386,0.382475,-0.086213,0.032874,0.711919,0.696174,-0.471012,0.058803,-0.086562,0.395659,-0.151273,0.008913,-0.528741,-0.080133,-0.0838,0.475574,-0.055432,0.1326,-0.019023,0.574308,-0.504026,-0.782556,-0.013443,-0.00717,-0.486325,0.615845,-0.808273,0.040703
-0.0284,0.000626,0.382508,-0.089706,0.025819,0.707924,0.700092,-0.455661,0.059908,-0.104465,0.363284,-0.151278,0.026823,-0.601996,-0.087145,-0.070696,0.657336,-0.031445,0.127557,-0.004749,0.58161,-0.491538,-0.763909,0.014439,-0.009007,-0.485583,0.615108,-0.818544,0.033932
-0.030817,-0.003131,0.382336,-0.089331,0.020429,0.70418,0.704083,-0.438714,0.059472,-0.119848,0.332302,-0.146359,0.042863,-0.680928,-0.09622,-0.057216,0.865846,-0.003224,0.124086,0.010479,0.58542,-0.473809,-0.734343,0.037079,-0.002238,-0.485326,0.598325,-0.841639,0.013611
-0.031865,-0.003885,0.381947,-0.090176,0.016952,0.70113,0.707105,-0.419302,0.064474,-0.128738,0.303556,-0.137497,0.059328,-0.752145,-0.101037,-0.053264,1.046763,0.01288,0.121996,0.024555,0.589768,-0.461592,-0.711335,0.052922,0.010205,-0.480301,0.579302,-0.856309,-0.008244
-0.032321,-0.003659,0.381619,-0.091102,0.014309,0.698968,0.709182,-0.401423,0.07244,-0.127061,0.279911,-0.128801,0.071884,-0.818067,-0.102594,-0.064123,1.20327,0.013112,0.116457,0.039584,0.596792,-0.451396,-0.700206,0.059492,0.016729,-0.474965,0.562752,-0.866939,-0.029694
-0.032096,-0.00276,0.381168,-0.090666,0.01344,0.696931,0.711257,-0.385609,0.076098,-0.123611,0.264251,-0.121261,0.078831,-0.863915,-0.10805,-0.0752,1.313389,-0.000187,0.105028,0.049866,0.599656,-0.447904,-0.684498,0.060929,0.020922,-0.463922,0.54069,-0.867103,-0.052052
